,name,year,size,HardMark,SSD_HDD,price
329,SAMSUNG HM320HJ,20Oct,298.1,654.0,0,68.7
330,SAMSUNG HM320II,20Sep,100.1,454.0,0,89.5
331,SAMSUNG HM320JI,20Dec,290.2,356.0,0,39.9
332,SAMSUNG HM321HI,20Apr,298.1,541.0,0,19.5
333,SAMSUNG HM500JI,20Jul,465.8,435.0,0,27.9
334,SAMSUNG HM500JJ,20Oct,465.8,622.0,0,289.8
335,SAMSUNG HM501II,20Jan,465.8,477.0,0,26.5
336,SAMSUNG HM640JJ,20Aug,581.5,648.0,0,69.9
337,SAMSUNG HM641JI,20Mar,596.2,585.0,0,32.9
338,SAMSUNG HN-M101MBB,20Sep,931.5,609.0,0,51.1
339,SAMSUNG HN-M500MBB,20Jan,465.8,633.0,0,64.4
340,SAMSUNG HN-M640MBB,20Jan,596.2,619.0,0,157.9
341,SAMSUNG HN-M750MBB,20Aug,698.6,547.0,0,53.0
342,SAMSUNG HS06THB,20Mar,55.9,176.0,0,54.9
343,SAMSUNG HS122JC,20Mar,111.8,181.0,0,78.2
344,Samsung MCBQE64GBMPP,20Dec,59.6,209.0,1,36.6
345,SAMSUNG MMCRE28G8MXP-0VB,20Nov,119.2,806.0,1,65.0
346,SAMSUNG MMCRE28G8MXP-0VBL1,20Dec,108.3,748.0,0,83.6
347,SAMSUNG MP0402H,20Feb,37.3,183.0,0,20.6
348,SAMSUNG MZ7LF128HCHP-00000,20May,119.2,2275.0,1,59.9
349,SAMSUNG MZ7LM240HMHQ-00005,20May,223.6,2468.0,1,179.2
350,SAMSUNG MZ7LM480HCHP-00003,20Jul,447.1,4242.0,1,99.9
351,SAMSUNG MZ7LN128HCHP-000H1,20Mar,119.2,2988.0,1,40.5
352,SAMSUNG MZ7LN128HCHP-000L1,20Jul,119.2,2659.0,1,83.9
353,SAMSUNG MZ7LN256HCHP-00000,20Aug,238.5,3477.0,1,274.9
354,SAMSUNG MZ7LN512HCHP-00000,20Feb,476.9,4296.0,1,209.9
355,SAMSUNG MZ7PC128HAFU-000H1,20Apr,119.2,2888.0,1,44.9
356,SAMSUNG MZ7TD128HAFV-000,20Mar,119.2,2196.0,1,36.5
357,SAMSUNG MZ7TD128HAFV-00000,20Mar,119.2,2009.0,1,229.8
358,SAMSUNG MZ7TD128HAFV-000L1,20Aug,119.2,2386.0,1,80.9
359,SAMSUNG MZ7TE128HMGR-00000,20May,119.2,2352.0,1,51.9
360,SAMSUNG MZ7TE128HMGR-000L1,20Jun,119.2,2214.0,1,15.9
361,SAMSUNG MZ7TE256HMHP-00000,20Sep,238.5,2859.0,1,125.0
362,SAMSUNG MZ7TE256HMHP-000H1,20Apr,238.5,2794.0,1,145.0
363,SAMSUNG MZ7TE256HMHP-000L7,20Aug,238.5,2883.0,1,139.1
364,SAMSUNG MZ7WD240HAFV-00003,20Sep,223.6,3220.0,1,90.0
365,SAMSUNG MZ7WD240HCFV-00003,20Sep,223.6,2971.0,1,123.1
366,SAMSUNG MZ7WD480HCGM-00003,20Jan,447.1,3806.0,1,308.3
367,SAMSUNG MZFLV128HCGR-000MV,20Sep,119.2,3499.0,1,26.9
368,SAMSUNG MZFLV256HCHP-000MV,20Aug,238.5,6986.0,1,62.3
369,SAMSUNG MZMTD128HAFV-00000,20Apr,119.2,2136.0,1,79.0
